Messungen der Hall-Spannung/ Magnetfeldmessungen
19380          2.52128                       0.5969                             +12.0000E+00                  
19360          2.52128                       0.5969                             +12.0000E+00                  
19340          2.52114                       0.5972                             +12.0000E+00                  
19320          2.52126                       0.5976                             +12.0000E+00                  
19300          2.5212                        0.5975                             +12.0000E+00                  
19280          2.52122                       0.5976                             +12.0000E+00                  
19260          2.52122                       0.5983                             +12.0000E+00                  
19240          2.52117                       0.5977                             +12.0000E+00                  
19220          2.52123                       0.5982                             +12.0000E+00                  
19200          2.52121                       0.5985                             +12.0000E+00                  
19180          2.52127                       0.5984                             +12.0000E+00                  
19160          2.52121                       0.5989                             +12.0000E+00                  
19140          2.52123                       0.5989                             +12.0000E+00                  
19120          2.52124                       0.5989                             +12.0000E+00                  
19100          2.52122                       0.5995                             +12.0000E+00                  
19080          2.52117                       0.5994                             +12.0000E+00                  
19060          2.52128                       0.5997                             +12.0000E+00                  
19040          2.52127                       0.5992                             +12.0000E+00                  
19020          2.52121                       0.5997                             +12.0000E+00                  
19000          2.52125                       0.6                                +12.0000E+00                  
18980          2.52119                       0.6001                             +12.0000E+00                  
18960          2.52124                       0.6005                             +12.0000E+00                  
18940          2.52128                       0.6006                             +12.0000E+00                  
18920          2.52121                       0.6007                             +12.0000E+00                  
18900          2.52122                       0.6008                             +12.0000E+00                  
18880          2.52121                       0.6007                             +12.0000E+00                  
18860          2.52121                       0.6011                             +12.0000E+00                  
18840          2.52114                       0.6013                             +12.0000E+00                  
18820          2.52124                       0.6013                             +12.0000E+00                  
18800          2.52117                       0.6016                             +12.0000E+00                  
18780          2.52126                       0.6016                             +12.0000E+00                  
18760          2.5212                        0.6016                             +12.0000E+00                  
18740          2.52115                       0.6018                             +12.0000E+00                  
18720          2.52118                       0.6019                             +12.0000E+00                  
18700          2.52119                       0.6022                             +12.0000E+00                  
18680          2.52118                       0.6023                             +12.0000E+00                  
18660          2.52118                       0.6026                             +12.0000E+00                  
18640          2.52111                       0.6026                             +12.0000E+00                  
18620          2.52114                       0.6028                             +12.0000E+00                  
18600          2.52113                       0.6032                             +12.0000E+00                  
18580          2.52111                       0.6031                             +12.0000E+00                  
18560          2.52116                       0.603                              +12.0000E+00                  
18540          2.52117                       0.6036                             +12.0000E+00                  
18520          2.52113                       0.6037                             +12.0000E+00                  
18500          2.52114                       0.6039                             +12.0000E+00                  
18480          2.52114                       0.604                              +12.0000E+00                  
18460          2.52112                       0.6041                             +12.0000E+00                  
18440          2.52111                       0.6038                             +12.0000E+00                  
18420          2.52109                       0.6046                             +12.0000E+00                  
18400          2.52118                       0.605                              +12.0000E+00                  
18380          2.52121                       0.6047                             +12.0000E+00                  
18360          2.52112                       0.6049                             +12.0000E+00                  
18340          2.52116                       0.6052                             +12.0000E+00                  
18320          2.52119                       0.6051                             +12.0000E+00                  
18300          2.5212                        0.6052                             +12.0000E+00                  
18280          2.52121                       0.6053                             +12.0000E+00                  
18260          2.52116                       0.6058                             +12.0000E+00                  
18240          2.52111                       0.6054                             +12.0000E+00                  
18220          2.52115                       0.6059                             +12.0000E+00                  
18200          2.52115                       0.6058                             +12.0000E+00                  
18180          2.52111                       0.606                              +12.0000E+00                  
18160          2.52115                       0.6065                             +12.0000E+00                  
18140          2.52114                       0.6061                             +12.0000E+00                  
18120          2.52122                       0.6064                             +12.0000E+00                  
18100          2.52116                       0.6063                             +12.0000E+00                  
18080          2.5212                        0.6067                             +12.0000E+00                  
18060          2.52123                       0.6069                             +12.0000E+00                  
18040          2.52114                       0.6071                             +12.0000E+00                  
18020          2.5212                        0.6071                             +12.0000E+00                  
18000          2.52114                       0.6072                             +12.0000E+00                  
17980          2.52119                       0.6079                             +12.0000E+00                  
17960          2.52118                       0.6079                             +12.0000E+00                  
17940          2.52114                       0.6081                             +12.0000E+00                  
17920          2.52115                       0.6082                             +12.0000E+00                  
17900          2.52113                       0.6083                             +12.0000E+00                  
17880          2.5212                        0.6087                             +12.0000E+00                  
17860          2.52117                       0.6085                             +12.0000E+00                  
17840          2.52118                       0.6089                             +12.0000E+00                  
17820          2.5212                        0.6087                             +12.0000E+00                  
17800          2.52113                       0.6088                             +12.0000E+00                  
17780          2.52122                       0.6093                             +12.0000E+00                  
17760          2.52121                       0.6094                             +12.0000E+00                  
17740          2.52128                       0.6097                             +12.0000E+00                  
17720          2.52137                       0.6098                             +12.0000E+00                  
17700          2.52134                       0.6099                             +12.0000E+00                  
17680          2.5212                        0.605                              +11.9000E+00                  
17660          2.52122                       0.605                              +11.9000E+00                  
17640          2.52121                       0.6052                             +11.9000E+00                  
17620          2.52121                       0.6055                             +11.9000E+00                  
17600          2.52118                       0.6055                             +11.9000E+00                  
17580          2.52126                       0.6055                             +11.9000E+00                  
17560          2.52121                       0.6059                             +11.9000E+00                  
17540          2.52125                       0.6059                             +11.9000E+00                  
17520          2.52123                       0.606                              +11.9000E+00                  
17500          2.52118                       0.6066                             +11.9000E+00                  
17480          2.52127                       0.6064                             +11.9000E+00                  
17460          2.52122                       0.6069                             +11.9000E+00                  
17440          2.52116                       0.6066                             +11.9000E+00                  
17420          2.52124                       0.6068                             +11.9000E+00                  
17400          2.52119                       0.6073                             +11.9000E+00                  
17380          2.52131                       0.6072                             +11.9000E+00                  
17360          2.52121                       0.6073                             +11.9000E+00                  
17340          2.52116                       0.6075                             +11.9000E+00                  
17320          2.52121                       0.6077                             +11.9000E+00                  
17300          2.52119                       0.6076                             +11.9000E+00                  
17280          2.5212                        0.6082                             +11.9000E+00                  
17260          2.52125                       0.6081                             +11.9000E+00                  
17240          2.5212                        0.6084                             +11.9000E+00                  
17220          2.52121                       0.6085                             +11.9000E+00                  
17200          2.52121                       0.6091                             +11.9000E+00                  
17180          2.5212                        0.609                              +11.9000E+00                  
17160          2.52123                       0.6089                             +11.9000E+00                  
17140          2.52123                       0.6086                             +11.9000E+00                  
17120          2.52126                       0.6093                             +11.9000E+00                  
17100          2.52121                       0.6095                             +11.9000E+00                  
17080          2.52123                       0.6096                             +11.9000E+00                  
17060          2.52116                       0.6096                             +11.9000E+00                  
17040          2.52115                       0.6097                             +11.9000E+00                  
17020          2.52115                       0.605                              +11.8000E+00                  
17000          2.52117                       0.6051                             +11.8000E+00                  
16980          2.52126                       0.6049                             +11.8000E+00                  
16960          2.52121                       0.6051                             +11.8000E+00                  
16940          2.52122                       0.6054                             +11.8000E+00                  
16920          2.52124                       0.6058                             +11.8000E+00                  
16900          2.52124                       0.6057                             +11.8000E+00                  
16880          2.5212                        0.6059                             +11.8000E+00                  
16860          2.52117                       0.6058                             +11.8000E+00                  
16840          2.5212                        0.6058                             +11.8000E+00                  
16820          2.52121                       0.6063                             +11.8000E+00                  
16800          2.52123                       0.6067                             +11.8000E+00                  
16780          2.52116                       0.6068                             +11.8000E+00                  
16760          2.52115                       0.6068                             +11.8000E+00                  
16740          2.52118                       0.6067                             +11.8000E+00                  
16720          2.52125                       0.607                              +11.8000E+00                  
16700          2.52121                       0.6069                             +11.8000E+00                  
16680          2.52121                       0.6075                             +11.8000E+00                  
16660          2.52115                       0.6073                             +11.8000E+00                  
16640          2.52125                       0.6074                             +11.8000E+00                  
16620          2.52118                       0.6077                             +11.8000E+00                  
16600          2.52127                       0.6079                             +11.8000E+00                  
16580          2.52116                       0.6083                             +11.8000E+00                  
16560          2.52117                       0.6081                             +11.8000E+00                  
16540          2.52124                       0.6081                             +11.8000E+00                  
16520          2.52119                       0.6082                             +11.8000E+00                  
16500          2.52113                       0.6087                             +11.8000E+00                  
16480          2.52113                       0.6087                             +11.8000E+00                  
16460          2.52116                       0.6091                             +11.8000E+00                  
16440          2.52119                       0.6092                             +11.8000E+00                  
16420          2.52124                       0.6092                             +11.8000E+00                  
16400          2.52115                       0.6091                             +11.8000E+00                  
16380          2.52111                       0.6094                             +11.8000E+00                  
16360          2.52118                       0.6093                             +11.8000E+00                  
16340          2.52118                       0.6098                             +11.8000E+00                  
16320          2.52115                       0.6099                             +11.8000E+00                  
16300          2.52112                       0.6046                             +11.7000E+00                  
16280          2.52111                       0.6049                             +11.7000E+00                  
16260          2.52115                       0.6052                             +11.7000E+00                  
16240          2.52109                       0.6054                             +11.7000E+00                  
16220          2.52115                       0.6056                             +11.7000E+00                  
16200          2.52113                       0.6058                             +11.7000E+00                  
16180          2.52112                       0.6059                             +11.7000E+00                  
16160          2.52113                       0.6058                             +11.7000E+00                  
16140          2.52116                       0.6061                             +11.7000E+00                  
16120          2.52109                       0.6061                             +11.7000E+00                  
16100          2.52113                       0.6064                             +11.7000E+00                  
16080          2.52114                       0.6065                             +11.7000E+00                  
16060          2.52112                       0.6064                             +11.7000E+00                  
16040          2.52116                       0.6067                             +11.7000E+00                  
16020          2.5212                        0.6065                             +11.7000E+00                  
16000          2.52113                       0.6073                             +11.7000E+00                  
15980          2.52112                       0.6072                             +11.7000E+00                  
15960          2.52113                       0.6073                             +11.7000E+00                  
15940          2.52116                       0.6078                             +11.7000E+00                  
15920          2.52108                       0.6076                             +11.7000E+00                  
15900          2.52117                       0.6076                             +11.7000E+00                  
15880          2.52118                       0.6079                             +11.7000E+00                  
15860          2.52116                       0.608                              +11.7000E+00                  
15840          2.52116                       0.6082                             +11.7000E+00                  
15820          2.52112                       0.608                              +11.7000E+00                  
15800          2.52112                       0.6084                             +11.7000E+00                  
15780          2.52115                       0.6084                             +11.7000E+00                  
15760          2.52118                       0.6088                             +11.7000E+00                  
15740          2.52111                       0.6087                             +11.7000E+00                  
15720          2.5212                        0.6092                             +11.7000E+00                  
15700          2.52116                       0.6094                             +11.7000E+00                  
15680          2.52117                       0.6094                             +11.7000E+00                  
15660          2.52117                       0.6093                             +11.7000E+00                  
15640          2.52121                       0.6095                             +11.7000E+00                  
15620          2.52115                       0.6096                             +11.7000E+00                  
15600          2.52113                       0.6098                             +11.7000E+00                  
15580          2.52111                       0.6048                             +11.6000E+00                  
15560          2.52106                       0.605                              +11.6000E+00                  
15540          2.52107                       0.605                              +11.6000E+00                  
15520          2.52103                       0.6053                             +11.6000E+00                  
15500          2.52112                       0.6053                             +11.6000E+00                  
15480          2.52113                       0.6053                             +11.6000E+00                  
15460          2.52113                       0.6058                             +11.6000E+00                  
15440          2.52106                       0.6056                             +11.6000E+00                  
15420          2.52113                       0.6058                             +11.6000E+00                  
15400          2.52114                       0.6059                             +11.6000E+00                  
15380          2.52107                       0.6061                             +11.6000E+00                  
15360          2.52108                       0.6065                             +11.6000E+00                  
15340          2.52115                       0.6067                             +11.6000E+00                  
15320          2.52104                       0.6065                             +11.6000E+00                  
15300          2.52104                       0.607                              +11.6000E+00                  
15280          2.52093                       0.607                              +11.6000E+00                  
15260          2.52107                       0.6072                             +11.6000E+00                  
15240          2.52106                       0.6072                             +11.6000E+00                  
15220          2.52106                       0.6074                             +11.6000E+00                  
15200          2.52108                       0.6076                             +11.6000E+00                  
15180          2.52107                       0.6074                             +11.6000E+00                  
15160          2.52098                       0.6079                             +11.6000E+00                  
15140          2.52104                       0.6078                             +11.6000E+00                  
15120          2.52111                       0.6078                             +11.6000E+00                  
15100          2.52108                       0.6082                             +11.6000E+00                  
15080          2.52116                       0.6083                             +11.6000E+00                  
15060          2.52112                       0.6086                             +11.6000E+00                  
15040          2.52109                       0.6084                             +11.6000E+00                  
15020          2.52107                       0.6087                             +11.6000E+00                  
15000          2.5211                        0.6087                             +11.6000E+00                  
14980          2.5211                        0.6089                             +11.6000E+00                  
14960          2.52101                       0.6091                             +11.6000E+00                  
14940          2.52109                       0.6093                             +11.6000E+00                  
14920          2.52106                       0.6092                             +11.6000E+00                  
14900          2.52109                       0.6095                             +11.6000E+00                  
14880          2.52108                       0.6097                             +11.6000E+00                  
14860          2.52102                       0.6099                             +11.6000E+00                  
14840          2.52109                       0.6096                             +11.6000E+00                  
14820          2.52101                       0.6049                             +11.5000E+00                  
14800          2.52112                       0.6051                             +11.5000E+00                  
14780          2.52107                       0.605                              +11.5000E+00                  
14760          2.52105                       0.6053                             +11.5000E+00                  
14740          2.52102                       0.6053                             +11.5000E+00                  
14720          2.52114                       0.6056                             +11.5000E+00                  
14700          2.52104                       0.6057                             +11.5000E+00                  
14680          2.52105                       0.6061                             +11.5000E+00                  
14660          2.52104                       0.6064                             +11.5000E+00                  
14640          2.52108                       0.6063                             +11.5000E+00                  
14620          2.52103                       0.6065                             +11.5000E+00                  
14600          2.5211                        0.6066                             +11.5000E+00                  
14580          2.52107                       0.6062                             +11.5000E+00                  
14560          2.52105                       0.6066                             +11.5000E+00                  
14540          2.52106                       0.6066                             +11.5000E+00                  
14520          2.52108                       0.6067                             +11.5000E+00                  
14500          2.52103                       0.6066                             +11.5000E+00                  
14480          2.52106                       0.6073                             +11.5000E+00                  
14460          2.52111                       0.6072                             +11.5000E+00                  
14440          2.52107                       0.6075                             +11.5000E+00                  
14420          2.52107                       0.6075                             +11.5000E+00                  
14400          2.52105                       0.6078                             +11.5000E+00                  
14380          2.52105                       0.6076                             +11.5000E+00                  
14360          2.52107                       0.6078                             +11.5000E+00                  
14340          2.52107                       0.6079                             +11.5000E+00                  
14320          2.52111                       0.608                              +11.5000E+00                  
14300          2.5211                        0.608                              +11.5000E+00                  
14280          2.52108                       0.6082                             +11.5000E+00                  
14260          2.52108                       0.6083                             +11.5000E+00                  
14240          2.52116                       0.6084                             +11.5000E+00                  
14220          2.5212                        0.6088                             +11.5000E+00                  
14200          2.52113                       0.6086                             +11.5000E+00                  
14180          2.52112                       0.6092                             +11.5000E+00                  
14160          2.52112                       0.609                              +11.5000E+00                  
14140          2.52114                       0.6091                             +11.5000E+00                  
14120          2.52113                       0.6096                             +11.5000E+00                  
14100          2.52113                       0.6095                             +11.5000E+00                  
14080          2.52115                       0.6094                             +11.5000E+00                  
14060          2.52115                       0.6099                             +11.5000E+00                  
14040          2.52112                       0.6098                             +11.5000E+00                  
14020          2.52114                       0.6043                             +11.4000E+00                  
14000          2.52115                       0.6048                             +11.4000E+00                  
13980          2.52112                       0.6047                             +11.4000E+00                  
13960          2.52113                       0.6048                             +11.4000E+00                  
13940          2.52113                       0.6051                             +11.4000E+00                  
13920          2.52113                       0.6055                             +11.4000E+00                  
13900          2.52114                       0.6055                             +11.4000E+00                  
13880          2.52116                       0.6054                             +11.4000E+00                  
13860          2.5211                        0.6058                             +11.4000E+00                  
13840          2.52116                       0.6057                             +11.4000E+00                  
13820          2.5211                        0.6059                             +11.4000E+00                  
13800          2.52113                       0.6062                             +11.4000E+00                  
13780          2.52115                       0.6062                             +11.4000E+00                  
13760          2.52114                       0.6063                             +11.4000E+00                  
13740          2.52112                       0.6064                             +11.4000E+00                  
13720          2.5211                        0.6064                             +11.4000E+00                  
13700          2.52106                       0.6068                             +11.4000E+00                  
13680          2.52108                       0.6069                             +11.4000E+00                  
13660          2.52115                       0.6069                             +11.4000E+00                  
13640          2.52109                       0.6071                             +11.4000E+00                  
13620          2.52111                       0.6072                             +11.4000E+00                  
13600          2.52108                       0.6076                             +11.4000E+00                  
13580          2.52119                       0.6074                             +11.4000E+00                  
13560          2.52114                       0.6078                             +11.4000E+00                  
13540          2.52111                       0.6076                             +11.4000E+00                  
13520          2.52109                       0.6081                             +11.4000E+00                  
13500          2.52113                       0.6081                             +11.4000E+00                  
13480          2.52114                       0.6085                             +11.4000E+00                  
13460          2.52109                       0.6086                             +11.4000E+00                  
13440          2.52109                       0.6087                             +11.4000E+00                  
13420          2.52103                       0.6085                             +11.4000E+00                  
13400          2.52106                       0.6088                             +11.4000E+00                  
13380          2.52111                       0.6088                             +11.4000E+00                  
13360          2.52104                       0.6089                             +11.4000E+00                  
13340          2.521                         0.6092                             +11.4000E+00                  
13320          2.521                         0.6089                             +11.4000E+00                  
13300          2.52107                       0.6094                             +11.4000E+00                  
13280          2.52105                       0.6091                             +11.4000E+00                  
13260          2.52111                       0.6093                             +11.4000E+00                  
13240          2.52103                       0.6095                             +11.4000E+00                  
13220          2.52102                       0.6097                             +11.4000E+00                  
13200          2.52114                       0.6098                             +11.4000E+00                  
13180          2.52109                       0.6098                             +11.4000E+00                  
13160          2.52103                       0.6048                             +11.3000E+00                  
13140          2.52109                       0.605                              +11.3000E+00                  
13120          2.521                         0.605                              +11.3000E+00                  
13100          2.52106                       0.6051                             +11.3000E+00                  
13080          2.52103                       0.6053                             +11.3000E+00                  
13060          2.52105                       0.6058                             +11.3000E+00                  
13040          2.52096                       0.6055                             +11.3000E+00                  
13020          2.52103                       0.6058                             +11.3000E+00                  
13000          2.521                         0.6057                             +11.3000E+00                  
12980          2.52097                       0.6058                             +11.3000E+00                  
12960          2.52102                       0.606                              +11.3000E+00                  
12940          2.52099                       0.6059                             +11.3000E+00                  
12920          2.52108                       0.6061                             +11.3000E+00                  
12900          2.5211                        0.6061                             +11.3000E+00                  
12880          2.52112                       0.6064                             +11.3000E+00                  
12860          2.5211                        0.6064                             +11.3000E+00                  
12840          2.52111                       0.6064                             +11.3000E+00                  
12820          2.52102                       0.6067                             +11.3000E+00                  
12800          2.5211                        0.6069                             +11.3000E+00                  
12780          2.52106                       0.6069                             +11.3000E+00                  
12760          2.52114                       0.6073                             +11.3000E+00                  
12740          2.52103                       0.6073                             +11.3000E+00                  
12720          2.52109                       0.6074                             +11.3000E+00                  
12700          2.52105                       0.6076                             +11.3000E+00                  
12680          2.52113                       0.6077                             +11.3000E+00                  
12660          2.52108                       0.6076                             +11.3000E+00                  
12640          2.5211                        0.6077                             +11.3000E+00                  
12620          2.52105                       0.6082                             +11.3000E+00                  
12600          2.52104                       0.6081                             +11.3000E+00                  
12580          2.52111                       0.6083                             +11.3000E+00                  
12560          2.52107                       0.6083                             +11.3000E+00                  
12540          2.52111                       0.6084                             +11.3000E+00                  
12520          2.52111                       0.6088                             +11.3000E+00                  
12500          2.52113                       0.6089                             +11.3000E+00                  
12480          2.52111                       0.6088                             +11.3000E+00                  
12460          2.52108                       0.6091                             +11.3000E+00                  
12440          2.52111                       0.6089                             +11.3000E+00                  
12420          2.52108                       0.6094                             +11.3000E+00                  
12400          2.52111                       0.6095                             +11.3000E+00                  
12380          2.52116                       0.6097                             +11.3000E+00                  
12360          2.52119                       0.6095                             +11.3000E+00                  
12340          2.52117                       0.6098                             +11.3000E+00                  
12320          2.52113                       0.6098                             +11.3000E+00                  
12300          2.52121                       0.6042                             +11.2000E+00                  
12280          2.52111                       0.6045                             +11.2000E+00                  
12260          2.52114                       0.6045                             +11.2000E+00                  
12240          2.52116                       0.6044                             +11.2000E+00                  
12220          2.52109                       0.6046                             +11.2000E+00                  
12200          2.52113                       0.605                              +11.2000E+00                  
12180          2.5211                        0.605                              +11.2000E+00                  
12160          2.52113                       0.605                              +11.2000E+00                  
12140          2.5211                        0.6053                             +11.2000E+00                  
12120          2.52106                       0.6051                             +11.2000E+00                  
12100          2.52106                       0.6055                             +11.2000E+00                  
12080          2.52105                       0.6054                             +11.2000E+00                  
12060          2.52118                       0.6056                             +11.2000E+00                  
12040          2.52106                       0.6056                             +11.2000E+00                  
12020          2.52106                       0.6057                             +11.2000E+00                  
12000          2.52102                       0.606                              +11.2000E+00                  
11980          2.52109                       0.6059                             +11.2000E+00                  
11960          2.52113                       0.606                              +11.2000E+00                  
11940          2.52115                       0.6062                             +11.2000E+00                  
11920          2.52107                       0.6066                             +11.2000E+00                  
11900          2.52106                       0.6066                             +11.2000E+00                  
11880          2.52109                       0.6065                             +11.2000E+00                  
11860          2.52109                       0.6064                             +11.2000E+00                  
11840          2.52102                       0.6068                             +11.2000E+00                  
11820          2.52105                       0.6068                             +11.2000E+00                  
11800          2.52102                       0.6071                             +11.2000E+00                  
11780          2.52145                       0.6071                             +11.2000E+00                  
11760          2.5214                        0.6071                             +11.2000E+00                  
11740          2.52114                       0.6074                             +11.2000E+00                  
11720          2.52108                       0.6075                             +11.2000E+00                  
11700          2.52106                       0.6076                             +11.2000E+00                  
11680          2.52104                       0.6079                             +11.2000E+00                  
11660          2.52107                       0.6077                             +11.2000E+00                  
11640          2.52108                       0.608                              +11.2000E+00                  
11620          2.52102                       0.6081                             +11.2000E+00                  
11600          2.52098                       0.6083                             +11.2000E+00                  
11580          2.52109                       0.6083                             +11.2000E+00                  
11560          2.52105                       0.6083                             +11.2000E+00                  
11540          2.52102                       0.6086                             +11.2000E+00                  
11520          2.52098                       0.6086                             +11.2000E+00                  
11500          2.52105                       0.6086                             +11.2000E+00                  
11480          2.52105                       0.6087                             +11.2000E+00                  
11460          2.52097                       0.6086                             +11.2000E+00                  
11440          2.52096                       0.609                              +11.2000E+00                  
11420          2.52096                       0.6092                             +11.2000E+00                  
11400          2.52096                       0.6094                             +11.2000E+00                  
11380          2.52096                       0.6091                             +11.2000E+00                  
11360          2.52108                       0.6094                             +11.2000E+00                  
11340          2.52104                       0.6094                             +11.2000E+00                  
11320          2.52108                       0.6096                             +11.2000E+00                  
11300          2.52113                       0.6097                             +11.2000E+00                  
11280          2.52103                       0.6098                             +11.2000E+00                  
11260          2.52109                       0.6098                             +11.2000E+00                  
11240          2.52109                       0.6098                             +11.2000E+00                  
11220          2.5211                        0.6099                             +11.2000E+00                  
11200          2.52111                       0.6051                             +11.1000E+00                  
11180          2.52106                       0.6049                             +11.1000E+00                  
11160          2.52109                       0.6054                             +11.1000E+00                  
11140          2.52112                       0.6052                             +11.1000E+00                  
11120          2.5211                        0.6053                             +11.1000E+00                  
11100          2.52103                       0.6056                             +11.1000E+00                  
11080          2.52108                       0.6055                             +11.1000E+00                  
11060          2.52107                       0.6058                             +11.1000E+00                  
11040          2.52107                       0.6058                             +11.1000E+00                  
11020          2.52108                       0.6061                             +11.1000E+00                  
11000          2.52111                       0.6059                             +11.1000E+00                  
10980          2.52108                       0.6063                             +11.1000E+00                  
10960          2.52108                       0.6064                             +11.1000E+00                  
10940          2.52106                       0.6065                             +11.1000E+00                  
10920          2.52111                       0.6064                             +11.1000E+00                  
10900          2.52105                       0.6065                             +11.1000E+00                  
10880          2.52101                       0.6068                             +11.1000E+00                  
10860          2.52094                       0.607                              +11.1000E+00                  
10840          2.521                         0.6071                             +11.1000E+00                  
10820          2.52101                       0.607                              +11.1000E+00                  
10800          2.52106                       0.6072                             +11.1000E+00                  
10780          2.52114                       0.6071                             +11.1000E+00                  
10760          2.52105                       0.6073                             +11.1000E+00                  
10740          2.52107                       0.6075                             +11.1000E+00                  
10720          2.52105                       0.6075                             +11.1000E+00                  
10700          2.52108                       0.6077                             +11.1000E+00                  
10680          2.52109                       0.6078                             +11.1000E+00                  
10660          2.521                         0.6079                             +11.1000E+00                  
10640          2.52104                       0.6079                             +11.1000E+00                  
10620          2.52112                       0.6078                             +11.1000E+00                  
10600          2.52115                       0.6082                             +11.1000E+00                  
10580          2.52111                       0.6082                             +11.1000E+00                  
10560          2.52107                       0.6082                             +11.1000E+00                  
10540          2.52108                       0.6084                             +11.1000E+00                  
10520          2.52104                       0.6086                             +11.1000E+00                  
10500          2.52101                       0.6086                             +11.1000E+00                  
10480          2.52105                       0.6085                             +11.1000E+00                  
10460          2.5211                        0.6088                             +11.1000E+00                  
10440          2.52109                       0.6088                             +11.1000E+00                  
10420          2.52113                       0.6091                             +11.1000E+00                  
10400          2.52107                       0.6091                             +11.1000E+00                  
10380          2.52107                       0.6092                             +11.1000E+00                  
10360          2.5211                        0.6094                             +11.1000E+00                  
10340          2.52103                       0.6092                             +11.1000E+00                  
10320          2.52112                       0.6094                             +11.1000E+00                  
10300          2.52099                       0.6095                             +11.1000E+00                  
10280          2.52102                       0.6046                             +11.0000E+00                  
10260          2.52104                       0.6045                             +11.0000E+00                  
10240          2.52104                       0.6046                             +11.0000E+00                  
10220          2.52098                       0.6047                             +11.0000E+00                  
10200          2.5211                        0.6049                             +11.0000E+00                  
10180          2.5211                        0.605                              +11.0000E+00                  
10160          2.52108                       0.6051                             +11.0000E+00                  
10140          2.52103                       0.605                              +11.0000E+00                  
10120          2.52105                       0.6054                             +11.0000E+00                  
10100          2.52104                       0.6054                             +11.0000E+00                  
10080          2.52109                       0.6055                             +11.0000E+00                  
10060          2.521                         0.6055                             +11.0000E+00                  
10040          2.5211                        0.6057                             +11.0000E+00                  
10020          2.52105                       0.6061                             +11.0000E+00                  
10000          2.52107                       0.606                              +11.0000E+00                  
9980           2.52116                       0.606                              +11.0000E+00                  
9960           2.52105                       0.6061                             +11.0000E+00                  
9940           2.52109                       0.6064                             +11.0000E+00                  
9920           2.52106                       0.6062                             +11.0000E+00                  
9900           2.52107                       0.6064                             +11.0000E+00                  
9880           2.52101                       0.6063                             +11.0000E+00                  
9860           2.52096                       0.6067                             +11.0000E+00                  
9840           2.52102                       0.6067                             +11.0000E+00                  
9820           2.52095                       0.6067                             +11.0000E+00                  
9800           2.52101                       0.6068                             +11.0000E+00                  
9780           2.52097                       0.6069                             +11.0000E+00                  
9760           2.52099                       0.6069                             +11.0000E+00                  
9740           2.52106                       0.6072                             +11.0000E+00                  
9720           2.52104                       0.607                              +11.0000E+00                  
9700           2.52097                       0.6073                             +11.0000E+00                  
9680           2.52102                       0.6073                             +11.0000E+00                  
9660           2.52105                       0.6075                             +11.0000E+00                  
9640           2.52102                       0.6074                             +11.0000E+00                  
9620           2.521                         0.6077                             +11.0000E+00                  
9600           2.52098                       0.6077                             +11.0000E+00                  
9580           2.52111                       0.6077                             +11.0000E+00                  
9560           2.52098                       0.6076                             +11.0000E+00                  
9540           2.52101                       0.6078                             +11.0000E+00                  
